lanelet_id, bound, x, y, yaw
110, leftBound, -266.30239, -83.504727, 0.792019 
110, leftBound, -265.94607, -83.153094, 0.793266 
110, leftBound, -265.58931, -82.801904, 0.794513 
110, leftBound, -265.23211, -82.451157, 0.795749 
110, leftBound, -264.87448, -82.100855, 0.796998 
110, leftBound, -264.51641, -81.750997, 0.798235 
110, leftBound, -264.15791, -81.401585, 0.799485 
110, leftBound, -263.79897, -81.052618, 0.800723 
110, leftBound, -263.43960, -80.704097, 0.801962 
110, leftBound, -263.07980, -80.356023, 0.803202 
110, leftBound, -262.71957, -80.008397, 0.804455 
110, leftBound, -262.35890, -79.661218, 0.805683 
110, leftBound, -261.99781, -79.314488, 0.806939 
110, leftBound, -261.63628, -78.968207, 0.808181 
110, leftBound, -261.27432, -78.622375, 0.809424 
110, leftBound, -260.91193, -78.276993, 0.810655 
110, leftBound, -260.54912, -77.932062, 0.811900 
110, leftBound, -260.18588, -77.587582, 0.813158 
110, leftBound, -259.82220, -77.243553, 0.814392 
110, leftBound, -259.45810, -76.899977, 0.815624 
110, leftBound, -259.09358, -76.556853, 0.816874 
110, leftBound, -258.72863, -76.214183, 0.818121 
110, leftBound, -258.36325, -75.871966, 0.819358 
110, leftBound, -257.99745, -75.530204, 0.820607 
110, leftBound, -257.63122, -75.188896, 0.821846 
110, leftBound, -257.26457, -74.848044, 0.823082 
110, leftBound, -256.89750, -74.507647, 0.824336 
110, leftBound, -256.53000, -74.167707, 0.825576 
110, leftBound, -256.16208, -73.828224, 0.826816 
110, leftBound, -255.79374, -73.489198, 0.828057 
110, leftBound, -255.42498, -73.150630, 0.829300 
110, leftBound, -255.05580, -72.812521, 0.830542 
110, leftBound, -254.68620, -72.474871, 0.831785 
110, leftBound, -254.31618, -72.137680, 0.833030 
110, leftBound, -253.94574, -71.800949, 0.834274 
110, leftBound, -253.57488, -71.464678, 0.835508 
110, leftBound, -253.20361, -71.128869, 0.836755 
110, leftBound, -252.83192, -70.793522, 0.837407 
110, leftBound, -252.46001, -70.458416, 0.837407 
110, leftBound, -252.08810, -70.123310, 0.837408 
110, leftBound, -251.71619, -69.788205, 0.837407 
110, leftBound, -251.34428, -69.453099, 0.837407 
110, leftBound, -250.97237, -69.117993, 0.837408 
110, leftBound, -250.60046, -68.782888, 0.837407 
110, leftBound, -250.22855, -68.447782, 0.837407 
110, leftBound, -249.85664, -68.112676, 0.837408 
110, leftBound, -249.48473, -67.777571, 0.837407 
110, leftBound, -249.11282, -67.442465, 0.837407 
110, leftBound, -248.74091, -67.107359, 0.837408 
110, leftBound, -248.36900, -66.772254, 0.837407 
110, leftBound, -247.99709, -66.437148, 0.837407 
110, leftBound, -247.62518, -66.102042, 0.837408 
110, leftBound, -247.25327, -65.766937, 0.837407 
110, leftBound, -246.88136, -65.431831, 0.837408 
110, leftBound, -246.50945, -65.096726, 0.837407 
110, leftBound, -246.13754, -64.761620, 0.837407 
110, leftBound, -245.76563, -64.426514, 0.837408 
110, leftBound, -245.39372, -64.091409, 0.837407 
110, leftBound, -245.02181, -63.756303, 0.837407 
110, leftBound, -244.64990, -63.421197, 0.837408 
110, leftBound, -244.27799, -63.086092, 0.837407 
110, leftBound, -243.90608, -62.750986, 0.837407 
110, leftBound, -243.53417, -62.415880, 0.837408 
110, leftBound, -243.16226, -62.080775, 0.837407 
110, leftBound, -242.79035, -61.745669, 0.837407 
110, leftBound, -242.41844, -61.410563, 0.837408 
110, leftBound, -242.04653, -61.075458, 0.837407 
110, leftBound, -241.67462, -60.740352, 0.837408 
110, leftBound, -241.30271, -60.405247, 0.837407 
110, leftBound, -240.93080, -60.070141, 0.837407 
110, leftBound, -240.55889, -59.735035, 0.837408 
110, leftBound, -240.18698, -59.399930, 0.837407 
110, leftBound, -239.81507, -59.064824, 0.837407 
110, leftBound, -239.44316, -58.729718, 0.837408 
110, leftBound, -239.07125, -58.394613, 0.837407 
110, leftBound, -238.69934, -58.059507, 0.837407 
110, leftBound, -238.32743, -57.724401, 0.837408 
110, leftBound, -237.95552, -57.389296, 0.837407 
110, leftBound, -237.58361, -57.054190, 0.837407 
110, leftBound, -237.21170, -56.719084, 0.837408 
110, leftBound, -236.83979, -56.383979, 0.837407 
110, leftBound, -236.46788, -56.048873, 0.837407 
110, leftBound, -236.09597, -55.713767, 0.837408 
110, leftBound, -235.72406, -55.378662, 0.837407 
110, leftBound, -235.35215, -55.043556, 0.837408 
110, leftBound, -234.98024, -54.708451, 0.837407 
110, leftBound, -234.60833, -54.373345, 0.837407 
110, leftBound, -234.23642, -54.038239, 0.837408 
110, leftBound, -233.86451, -53.703134, 0.837407 
110, leftBound, -233.49260, -53.368028, 0.837407 
110, leftBound, -233.12069, -53.032922, 0.837408 
110, leftBound, -232.74878, -52.697817, 0.837407 
110, leftBound, -232.37687, -52.362711, 0.837407 
110, leftBound, -232.00496, -52.027605, 0.837408 
110, leftBound, -231.63305, -51.692500, 0.837407 
110, leftBound, -231.26114, -51.357394, 0.837407 
110, leftBound, -230.88923, -51.022288, 0.837408 
110, leftBound, -230.51732, -50.687183, 0.837407 
110, leftBound, -230.14541, -50.352077, 0.837408 
110, leftBound, -229.77350, -50.016972, 0.837407 
110, leftBound, -229.40159, -49.681866, 0.837407 
110, leftBound, -229.02968, -49.346760, 0.837408 
110, leftBound, -228.65777, -49.011655, 0.837407 
110, leftBound, -228.28586, -48.676549, 0.837407 
110, leftBound, -227.91395, -48.341443, 0.837408 
110, leftBound, -227.54204, -48.006338, 0.837407 
110, leftBound, -227.17013, -47.671232, 0.837407 
110, leftBound, -226.79822, -47.336126, 0.837408 
110, leftBound, -226.42631, -47.001021, 0.837407 
110, leftBound, -226.05440, -46.665915, 0.837407 
110, leftBound, -225.68249, -46.330809, 0.837408 
110, leftBound, -225.31058, -45.995704, 0.837407 
110, leftBound, -224.93867, -45.660598, 0.837408 
110, leftBound, -224.56676, -45.325493, 0.837407 
110, leftBound, -224.19485, -44.990387, 0.837407 
110, leftBound, -223.82294, -44.655281, 0.837408 
110, leftBound, -223.45103, -44.320176, 0.837407 
110, leftBound, -223.07912, -43.985070, 0.837407 
110, leftBound, -222.70721, -43.649964, 0.837408 
110, leftBound, -222.33530, -43.314859, 0.837407 
110, leftBound, -221.96339, -42.979753, 0.837407 
110, leftBound, -221.59148, -42.644647, 0.837408 
110, leftBound, -221.21957, -42.309542, 0.837407 
110, leftBound, -220.84766, -41.974436, 0.837407 
