lanelet_id, bound, x, y
110, leftBound, -189.50328, -15.480969
110, leftBound, -189.11243, -15.168161
110, leftBound, -188.72158, -14.855353
110, leftBound, -188.33073, -14.542545
110, leftBound, -187.93988, -14.229738
110, leftBound, -187.54903, -13.916930
110, leftBound, -187.15818, -13.604122
110, leftBound, -186.76733, -13.291315
110, leftBound, -186.37648, -12.978507
110, leftBound, -185.98562, -12.665699
110, leftBound, -185.59477, -12.352891
110, leftBound, -185.20392, -12.040084
110, leftBound, -184.81307, -11.727276
110, leftBound, -184.42222, -11.414468
110, leftBound, -184.03137, -11.101660
110, leftBound, -183.64052, -10.788853
110, leftBound, -183.24967, -10.476045
110, leftBound, -182.85882, -10.163237
110, leftBound, -182.46797, -9.8504296
110, leftBound, -182.07712, -9.5376218
110, leftBound, -181.68627, -9.2248141
110, leftBound, -181.29542, -8.9120064
110, leftBound, -180.90457, -8.5991987
110, leftBound, -180.51372, -8.2863909
110, leftBound, -180.12287, -7.9735832
110, leftBound, -179.73202, -7.6607755
110, leftBound, -179.34117, -7.3479678
110, leftBound, -178.95032, -7.0351600
110, leftBound, -178.55947, -6.7223523
110, leftBound, -178.16862, -6.4095446
110, leftBound, -177.77776, -6.0967369
110, leftBound, -177.38691, -5.7839291
110, leftBound, -176.99606, -5.4711214
110, leftBound, -176.60521, -5.1583137
110, leftBound, -176.21432, -4.8455559
110, leftBound, -175.82317, -4.5331277
110, leftBound, -175.43193, -4.2208044
110, leftBound, -175.04069, -3.9084812
110, leftBound, -174.64946, -3.5961579
110, leftBound, -174.25822, -3.2838347
110, leftBound, -173.86698, -2.9715114
110, leftBound, -173.47574, -2.6591881
110, leftBound, -173.08450, -2.3468649
110, leftBound, -172.69327, -2.0345416
110, leftBound, -172.30203, -1.7222184
110, leftBound, -171.91079, -1.4098951
110, leftBound, -171.51955, -1.0975719
110, leftBound, -171.12832, -0.78524862
110, leftBound, -170.73708, -0.47292537
110, leftBound, -170.34584, -0.16060211
110, leftBound, -169.95460, 0.15172114
110, leftBound, -169.56337, 0.46404440
110, leftBound, -169.17213, 0.77636765
110, leftBound, -168.78050, 1.0882002
110, leftBound, -168.38790, 1.3988055
110, leftBound, -167.99432, 1.7081732
110, leftBound, -167.59977, 2.0163004
110, leftBound, -167.20425, 2.3231840
110, leftBound, -166.80777, 2.6288210
110, leftBound, -166.41032, 2.9332082
110, leftBound, -166.01192, 3.2363428
110, leftBound, -165.61257, 3.5382216
110, leftBound, -165.21227, 3.8388418
110, leftBound, -164.81103, 4.1382002
110, leftBound, -164.40884, 4.4362940
110, leftBound, -164.00572, 4.7331202
110, leftBound, -163.60167, 5.0286759
110, leftBound, -163.19668, 5.3229581
110, leftBound, -162.79078, 5.6159639
110, leftBound, -162.38395, 5.9076905
110, leftBound, -161.97621, 6.1981348
110, leftBound, -161.56755, 6.4872941
110, leftBound, -161.15799, 6.7751654
110, leftBound, -160.74752, 7.0617460
110, leftBound, -160.33615, 7.3470330
110, leftBound, -159.92389, 7.6310235
110, leftBound, -159.51073, 7.9137147
110, leftBound, -159.09669, 8.1951039
110, leftBound, -158.68176, 8.4751883
110, leftBound, -158.26595, 8.7539650
110, leftBound, -157.84927, 9.0314313
110, leftBound, -157.43171, 9.3075844
110, leftBound, -157.01329, 9.5824217
110, leftBound, -156.59401, 9.8559404
110, leftBound, -156.17386, 10.128138
110, leftBound, -155.75286, 10.399011
110, leftBound, -155.33101, 10.668558
110, leftBound, -154.90832, 10.936775
110, leftBound, -154.48478, 11.203660
110, leftBound, -154.06077, 11.469804
110, leftBound, -153.63677, 11.735946
110, leftBound, -153.21276, 12.002087
110, leftBound, -152.78875, 12.268229
110, leftBound, -152.36475, 12.534370
110, leftBound, -151.94074, 12.800512
110, leftBound, -151.51673, 13.066653
110, leftBound, -151.09273, 13.332795
110, leftBound, -150.66872, 13.598936
110, leftBound, -150.24471, 13.865078
110, leftBound, -149.82071, 14.131219
110, leftBound, -149.39670, 14.397361
110, leftBound, -148.97269, 14.663502
110, leftBound, -148.54869, 14.929644
110, leftBound, -148.12468, 15.195785
110, leftBound, -147.70068, 15.461927
110, leftBound, -147.27667, 15.728068
110, leftBound, -146.85266, 15.994210
110, leftBound, -146.42866, 16.260351
110, leftBound, -146.00465, 16.526493
110, leftBound, -145.58064, 16.792634
110, leftBound, -145.15664, 17.058776
110, leftBound, -144.73263, 17.324917
110, leftBound, -144.30862, 17.591058
110, leftBound, -143.88462, 17.857200
110, leftBound, -143.46061, 18.123341
110, leftBound, -143.03660, 18.389483
110, leftBound, -142.61260, 18.655624
110, leftBound, -142.18859, 18.921766
110, leftBound, -141.76458, 19.187907
110, leftBound, -141.34058, 19.454049
110, leftBound, -140.91657, 19.720190
110, leftBound, -140.49257, 19.986332
110, leftBound, -140.06856, 20.252473
110, leftBound, -139.64455, 20.518615
110, leftBound, -139.22055, 20.784756
110, leftBound, -138.79654, 21.050898
110, leftBound, -138.37253, 21.317039
110, leftBound, -137.94853, 21.583181
110, leftBound, -137.52452, 21.849322
110, leftBound, -137.10051, 22.115464
110, leftBound, -136.67651, 22.381605
110, leftBound, -136.25250, 22.647747
110, leftBound, -135.82849, 22.913888
110, leftBound, -135.40449, 23.180030
